GitHub Repository,Filename,Language,Version,Created,Creator Tool,Creator Person,Creator Organization,Creator,Creator Comment,Spdx Version,Data Licence,Complience Ratio,Complience Reasoning,Complience Maxpoints,Package Idenification Ratio,Package Idenification Reasoning,Package Idenification Maxpoints,Package Version Ratio,Package Version Reasoning,Package Version Maxpoints,Package Licences Ratio,Package Licences Reconing,Package Licences Maxpoints,Createion info ratio,Creation Info Reasoning,Creation Info MaxPoints,Total Ratio,Total Reasoning,Total MaxPoints,Metadata Total Packages
anchore/chronicle,sbom.spdx.json,Go,v0.1.1-beta_sbom.spdx.json,2021-10-21,syft-0.25.0,,"Anchore, Inc",,,SPDX-2.2,CC0-1.0,1,,25,"0,93194705",93% have either purls (100%) or CPEs (93%),20,1,,20,0,,20,1,,15,"0,7863894",,100,529
anchore/chronicle,sbom.spdx.json,Go,v0.1.2-beta_sbom.spdx.json,2021-10-21,syft-0.25.0,,"Anchore, Inc",,,SPDX-2.2,CC0-1.0,1,,25,"0,93194705",93% have either purls (100%) or CPEs (93%),20,1,,20,0,,20,1,,15,"0,7863894",,100,529
anchore/chronicle,sbom.spdx.json,Go,v0.2.0-beta_sbom.spdx.json,2021-10-21,syft-0.25.0,,"Anchore, Inc",,,SPDX-2.2,CC0-1.0,1,,25,"0,93194705",93% have either purls (100%) or CPEs (93%),20,1,,20,0,,20,1,,15,"0,7863894",,100,529
anchore/chronicle,sbom.spdx.json,Go,v0.3.0_sbom.spdx.json,2021-11-13,syft-0.26.0,,"Anchore, Inc",,,SPDX-2.2,CC0-1.0,1,,25,"0,9321739",93% have either purls (100%) or CPEs (93%),20,1,,20,0,,20,1,,15,"0,78643477",,100,575
goreleaser/goreleaser,goreleaser_Darwin_arm64.tar.gz.sbom,Go,v1.2.1_goreleaser_Darwin_arm64.tar.gz.sbom,2021-12-22,syft-0.33.0,,"Anchore, Inc",,,SPDX-2.2,CC0-1.0,1,,25,0,No packages,20,0,No packages,20,0,No packages,20,0,No creation info found,15,"0,25",,100,0
goreleaser/goreleaser,goreleaser_Darwin_x86_64.tar.gz.sbom,Go,v1.2.1_goreleaser_Darwin_x86_64.tar.gz.sbom,2021-12-22,syft-0.33.0,,"Anchore, Inc",,,SPDX-2.2,CC0-1.0,1,,25,0,No packages,20,0,No packages,20,0,No packages,20,0,No creation info found,15,"0,25",,100,0
goreleaser/goreleaser,goreleaser_Linux_arm64.tar.gz.sbom,Go,v1.2.1_goreleaser_Linux_arm64.tar.gz.sbom,2021-12-22,syft-0.33.0,,"Anchore, Inc",,,SPDX-2.2,CC0-1.0,1,,25,0,No packages,20,0,No packages,20,0,No packages,20,0,No creation info found,15,"0,25",,100,0
goreleaser/goreleaser,goreleaser_Linux_armv7.tar.gz.sbom,Go,v1.2.1_goreleaser_Linux_armv7.tar.gz.sbom,2021-12-22,syft-0.33.0,,"Anchore, Inc",,,SPDX-2.2,CC0-1.0,1,,25,0,No packages,20,0,No packages,20,0,No packages,20,0,No creation info found,15,"0,25",,100,0
goreleaser/goreleaser,goreleaser_Linux_i386.tar.gz.sbom,Go,v1.2.1_goreleaser_Linux_i386.tar.gz.sbom,2021-12-22,syft-0.33.0,,"Anchore, Inc",,,SPDX-2.2,CC0-1.0,1,,25,0,No packages,20,0,No packages,20,0,No packages,20,0,No creation info found,15,"0,25",,100,0
goreleaser/goreleaser,goreleaser_Linux_x86_64.tar.gz.sbom,Go,v1.2.1_goreleaser_Linux_x86_64.tar.gz.sbom,2021-12-22,syft-0.33.0,,"Anchore, Inc",,,SPDX-2.2,CC0-1.0,1,,25,0,No packages,20,0,No packages,20,0,No packages,20,0,No creation info found,15,"0,25",,100,0
goreleaser/goreleaser,goreleaser_Windows_arm64.zip.sbom,Go,v1.2.1_goreleaser_Windows_arm64.zip.sbom,2021-12-22,syft-0.33.0,,"Anchore, Inc",,,SPDX-2.2,CC0-1.0,1,,25,0,No packages,20,0,No packages,20,0,No packages,20,0,No creation info found,15,"0,25",,100,0
goreleaser/goreleaser,goreleaser_Windows_i386.zip.sbom,Go,v1.2.1_goreleaser_Windows_i386.zip.sbom,2021-12-22,syft-0.33.0,,"Anchore, Inc",,,SPDX-2.2,CC0-1.0,1,,25,0,No packages,20,0,No packages,20,0,No packages,20,0,No creation info found,15,"0,25",,100,0
goreleaser/goreleaser,goreleaser_Windows_x86_64.zip.sbom,Go,v1.2.1_goreleaser_Windows_x86_64.zip.sbom,2021-12-22,syft-0.33.0,,"Anchore, Inc",,,SPDX-2.2,CC0-1.0,1,,25,0,No packages,20,0,No packages,20,0,No packages,20,0,No creation info found,15,"0,25",,100,0
