GitHub Repository,Filename,Language,Version,Created,Creator Tool,Creator Person,Creator Organization,Creator,Creator Comment,Spdx Version,Data Licence,Complience Ratio,Complience Reasoning,Complience Maxpoints,Package Idenification Ratio,Package Idenification Reasoning,Package Idenification Maxpoints,Package Version Ratio,Package Version Reasoning,Package Version Maxpoints,Package Licences Ratio,Package Licences Reconing,Package Licences Maxpoints,Createion Info Ratio,Creation Info Reasoning,Creation Info MaxPoints,Total Ratio,Total Reasoning,Total MaxPoints,Metadata Total Packages
advancedtelematic/aktualizr,C++,thirdparty.spdx,1_7a2cf94871384d385db80c5c1148e7dd1c5484e6_thirdparty.spdx,,,Serhiy Stetskovych (patriotyk@gmail.com),,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,1,,20,1,,20,0,No tool was used to create the sbom,15,"0,65",,100,5
advancedtelematic/aktualizr,C++,thirdparty.spdx,10_98b7015e648b1d6f0b5fdb589b339813996f72a8_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,14285715",,20,1,,20,0,No tool was used to create the sbom,15,"0,47857144",,100,21
advancedtelematic/aktualizr,C++,thirdparty.spdx,11_2b594261faf5a26785ecedadf1e83215afb3d6be_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,1",,20,1,,20,0,No tool was used to create the sbom,15,"0,47",,100,20
advancedtelematic/aktualizr,C++,thirdparty.spdx,12_f798e2c391e340960c0acd87b8ef2b1201ea301e_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,11764706",,20,1,,20,0,No tool was used to create the sbom,15,"0,47352943",,100,17
advancedtelematic/aktualizr,C++,thirdparty.spdx,13_4525bcaf72bc8c20b9d520f0c9ab218934323881_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,125",,20,1,,20,0,No tool was used to create the sbom,15,"0,475",,100,16
advancedtelematic/aktualizr,C++,thirdparty.spdx,14_52a8b292908e6aabba43d148898d0d2b33bfcccd_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,13333334",,20,1,,20,0,No tool was used to create the sbom,15,"0,47666663",,100,15
advancedtelematic/aktualizr,C++,thirdparty.spdx,15_acb7f2db8edd169f58ef26adf109f9743c457b13_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,125",,20,1,,20,0,No tool was used to create the sbom,15,"0,475",,100,16
advancedtelematic/aktualizr,C++,thirdparty.spdx,16_5babd222f8cc5cfd92d0200e02dee26a3751adb8_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,375",,20,1,,20,0,No tool was used to create the sbom,15,"0,525",,100,16
advancedtelematic/aktualizr,C++,thirdparty.spdx,17_6fd94539c749c4b20fd3c0d514dbf476d3f0a551_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,4",,20,1,,20,0,No tool was used to create the sbom,15,"0,53",,100,15
advancedtelematic/aktualizr,C++,thirdparty.spdx,18_097a6e3b20a4485d49ffc8754b768f7131fa5436_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,4",,20,1,,20,0,No tool was used to create the sbom,15,"0,53",,100,15
advancedtelematic/aktualizr,C++,thirdparty.spdx,2_7a310d3dcc4cc10cc5f7e261f27936395a2dd4e0_thirdparty.spdx,,,Serhiy Stetskovych (patriotyk@gmail.com),,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,2631579",,20,1,,20,0,No tool was used to create the sbom,15,"0,50263155",,100,19
advancedtelematic/aktualizr,C++,thirdparty.spdx,3_197a291c0ad561c1a11bced99907b1f5c55e52b2_thirdparty.spdx,,,Serhiy Stetskovych (patriotyk@gmail.com),,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,22222222",,20,1,,20,0,No tool was used to create the sbom,15,"0,49444443",,100,18
advancedtelematic/aktualizr,C++,thirdparty.spdx,4_9912d242a2ecda217dc107c70e80ea6b91989488_thirdparty.spdx,,,Serhiy Stetskovych (patriotyk@gmail.com),,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,1764706",,20,1,,20,0,No tool was used to create the sbom,15,"0,4852941",,100,17
advancedtelematic/aktualizr,C++,thirdparty.spdx,5_430219331b58b3f280b689ce1513eb16fccef7ac_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,15",,20,1,,20,0,No tool was used to create the sbom,15,"0,48",,100,20
advancedtelematic/aktualizr,C++,thirdparty.spdx,6_a2e8be1420c18c013e6bce799d54210c0bcee609_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,15789473",,20,1,,20,0,No tool was used to create the sbom,15,"0,48157895",,100,19
advancedtelematic/aktualizr,C++,thirdparty.spdx,7_ac89f1f17c8c58adf203f07dcb8d99c75a0a5413_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,16666667",,20,1,,20,0,No tool was used to create the sbom,15,"0,48333335",,100,18
advancedtelematic/aktualizr,C++,thirdparty.spdx,8_ff08871cfbc5ffafe370cb2a95b977be3fba4994_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,15",,20,1,,20,0,No tool was used to create the sbom,15,"0,48",,100,20
advancedtelematic/aktualizr,C++,thirdparty.spdx,9_9d224b78e668739ec0708af6df76a76de5648196_thirdparty.spdx,,,,HERE Technologies,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,"0,14285715",,20,1,,20,0,No tool was used to create the sbom,15,"0,47857144",,100,21
ARM-software/armnn,C++,LICENSE.spdx,1_7852b2d9c4841922774be4b9e01851312cb6e7f3_LICENSE.spdx,2022-08-03,reuse-1.0.0,Anonymous (),Anonymous (),,,SPDX-2.1,CC0-1.0,1,,25,0,0% have either purls (0%) or CPEs (0%),20,0,,20,1,,20,1,,15,"0,6",,100,7
ARM-software/armnn,C++,LICENSE.spdx,2_7852b2d9c4841922774be4b9e01851312cb6e7f3_LICENSE.spdx,,,,,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,0,,20,1,,20,0,No tool was used to create the sbom,15,"0,45",,100,1
ARM-software/armnn,C++,LICENSE.spdx,3_7852b2d9c4841922774be4b9e01851312cb6e7f3_LICENSE.spdx,,,,,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,0,,20,1,,20,0,No tool was used to create the sbom,15,"0,45",,100,1
ARM-software/armnn,C++,LICENSE.spdx,4_7852b2d9c4841922774be4b9e01851312cb6e7f3_LICENSE.spdx,,,,,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,0,,20,1,,20,0,No tool was used to create the sbom,15,"0,45",,100,1
ARM-software/armnn,C++,LICENSE.spdx,5_7852b2d9c4841922774be4b9e01851312cb6e7f3_LICENSE.spdx,,,,,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,0,,20,1,,20,0,No tool was used to create the sbom,15,"0,45",,100,1
ARM-software/armnn,C++,LICENSE.spdx,6_7852b2d9c4841922774be4b9e01851312cb6e7f3_LICENSE.spdx,,,,,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,0,,20,1,,20,0,No tool was used to create the sbom,15,"0,45",,100,1
ARM-software/armnn,C++,LICENSE.spdx,7_7852b2d9c4841922774be4b9e01851312cb6e7f3_LICENSE.spdx,,,,,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,0,,20,1,,20,0,No tool was used to create the sbom,15,"0,45",,100,1
ARM-software/armnn,C++,LICENSE.spdx,8_7852b2d9c4841922774be4b9e01851312cb6e7f3_LICENSE.spdx,,,,,,,,,1,,25,0,0% have either purls (0%) or CPEs (0%),20,0,,20,1,,20,0,No tool was used to create the sbom,15,"0,45",,100,1
